Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,lr=0.1 args=--constraint-method project-gradient,momentum-sign,35.365,0.8502
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,lr=0.1 args=--constraint-method project-gradient,momentum-sign,35.34,0.8502
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,lr=0.1 args=--constraint-method project-gradient,momentum-sign,35.752,0.8502
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,lr=0.1 args=--constraint-method project-gradient,momentum-sign,35.6,0.8502
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,lr=0.1 args=--constraint-method project-gradient,momentum-sign,118.065,0.8513
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,lr=0.1 args=--constraint-method project-gradient,momentum-sign,117.88,0.8513
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,lr=0.1 args=--constraint-method project-gradient,momentum-sign,117.703,0.8513
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,lr=0.1 args=--constraint-method project-gradient,momentum-sign,116.631,0.8513
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,lr=0.1 args=--constraint-method project-gradient,momentum-sign,117.695,0.8513
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,409.2075,0.8675
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,408.2109,0.8675
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,405.7369,0.8675
