Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.01 Logistic Sigmoid,adam,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.01 Logarithmic Barrier,momentum-sign,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.01 Project without gradient,momentum-sign,451.752,3.4995
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.01 Project with gradient,momentum-sign,533.288,3.4995
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.01 Logistic Sigmoid,momentum-sign,2502.982,3.4998
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.01 Logarithmic Barrier,nesterov-sign,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.01 Project without gradient,nesterov-sign,468.023,3.4949
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.01 Project with gradient,nesterov-sign,469.343,3.4949
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.01 Logistic Sigmoid,nesterov-sign,2653.015,3.4998
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.001 Logarithmic Barrier,adam,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.001 Project without gradient,adam,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.001 Project with gradient,adam,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.001 Logistic Sigmoid,adam,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.001 Logarithmic Barrier,momentum-sign,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.001 Project without gradient,momentum-sign,2454.917,3.4986
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.001 Project with gradient,momentum-sign,2446.459,3.4986
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.001 Logistic Sigmoid,momentum-sign,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.001 Logarithmic Barrier,nesterov-sign,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.001 Project without gradient,nesterov-sign,2544.733,3.4973
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.001 Project with gradient,nesterov-sign,2537.608,3.4973
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.001 Logistic Sigmoid,nesterov-sign,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,lr=0.1 Logarithmic Barrier,adam,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,lr=0.1 Project without gradient,adam,47.677,0.8505
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,lr=0.1 Project with gradient,adam,39.926,0.8505
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,lr=0.1 Logistic Sigmoid,adam,144.854,0.85
